user_id,username,post_type
101,alice_wonder,image
103,charlie_food,image
104,diana_travel,image
105,evan_fit,reel
106,fiona_art,image
108,hannah_books,text
110,jane_foodie,image
111,kevin_photo,image
112,lisa_fitness,reel
114,nina_travel,image
115,oliver_cook,image
116,paula_style,image
117,quincy_music,text
118,rachel_art,image
120,tina_food,image
121,umar_photo,image
122,vicky_fit,reel
124,xena_travel,image
125,yara_bake,image
127,amy_books,text
128,ben_art,image
130,dave_food,image
131,ella_photo,image
132,finn_fitness,reel
134,henry_travel,image
135,ivy_cook,image
136,jack_style,image
138,leo_art,image
140,noah_food,image
141,olivia_photo,image
142,peter_fit,reel
144,rose_travel,image
145,steve_bake,image
147,uma_books,text
148,vince_art,image
150,xander_food,image
151,yara_photo,image
152,zane_fitness,reel
154,brian_travel,image
155,cara_cook,image
156,dylan_style,image
158,finn_art,image
160,hugo_food,image
161,isla_photo,image
162,jake_fit,reel
164,liam_travel,image
165,maya_bake,image
167,olivia_books,text
168,pablo_art,image
170,riya_food,image
171,sam_photo,image
172,tara_fitness,reel
174,vicky_travel,image
175,will_cook,image
176,xena_style,image
178,zack_art,image
180,ben_food,image
181,cara_photo,image
182,dave_fit,reel
184,finn_travel,image
185,grace_bake,image
187,ivy_books,text
188,jack_art,image
190,leo_food,image
191,mia_photo,image
192,noah_fitness,reel
194,peter_travel,image
195,quinn_cook,image
196,rose_style,image
198,tara_art,image
200,vicky_food,image
