post_id,user_id,username,content,post_date,likes,comments,shares,post_type,TOTAL_ENGAGEMENTS
9,109,ian_gaming,"Speedrun record achieved! ","2023-06-05 10:30:00",1500,112,87,video,1699
99,199,umar_gaming,"CS:GO tournament finals","2023-07-20 18:30:00",1400,95,70,video,1565
49,149,willa_gaming,"Speedrunning Mario 64","2023-06-25 22:40:00",1400,92,68,video,1560
19,119,sam_gaming,"Live streaming Fortnite tonight!","2023-06-10 22:00:00",1350,98,72,video,1520
69,169,quinn_gaming,"Zelda: Tears of the Kingdom 100%","2023-07-05 23:00:00",1300,87,64,video,1451
89,189,kate_gaming,"Minecraft mega build tour","2023-07-15 22:20:00",1250,85,63,video,1398
39,139,mia_gaming,"Valorant tournament highlights","2023-06-20 18:30:00",1250,84,62,video,1396
5,105,evan_fit,"Morning workout routine ","2023-06-03 07:30:00",1200,95,65,reel,1360
79,179,amy_gaming,"League of Legends pentakill","2023-07-10 18:10:00",1200,82,60,video,1342
59,159,gia_gaming,"Apex Legends clutch moment","2023-06-30 18:50:00",1150,79,58,video,1287
