post_id,user_id,username,content,post_date,likes,comments,shares,post_type,Day_of_Week
5,105,evan_fit,"Morning workout routine ","2023-06-03 07:30:00",1200,95,65,reel,Saturday
6,106,fiona_art,"New painting in progress ","2023-06-03 13:20:00",340,21,5,image,Saturday
18,118,rachel_art,"Abstract painting finished ","2023-06-10 15:00:00",290,19,7,image,Saturday
19,119,sam_gaming,"Live streaming Fortnite tonight!","2023-06-10 22:00:00",1350,98,72,video,Saturday
32,132,finn_fitness,"Home workout without equipment","2023-06-17 08:30:00",390,26,12,reel,Saturday
33,133,grace_tech,"iOS 17 first impressions","2023-06-17 15:15:00",530,39,17,video,Saturday
46,146,tara_gadgets,"Smartwatch comparison 2023","2023-06-24 12:35:00",470,35,15,video,Saturday
47,147,uma_books,"Reading challenge update: 20/50","2023-06-24 19:20:00",230,17,5,text,Saturday
60,160,hugo_food,"French onion soup recipe ","2023-07-01 10:35:00",580,42,22,image,Saturday
61,161,isla_photo,"Foggy forest morning ","2023-07-01 17:20:00",710,50,28,image,Saturday
74,174,vicky_travel,"Hot air balloon festival ","2023-07-08 10:35:00",920,65,43,image,Saturday
75,175,will_cook,"Homemade ramen bowl ","2023-07-08 17:20:00",550,40,21,image,Saturday
88,188,jack_art,"Chalk art festival entry","2023-07-15 15:35:00",360,25,10,image,Saturday
89,189,kate_gaming,"Minecraft mega build tour","2023-07-15 22:20:00",1250,85,63,video,Saturday
7,107,gary_music,"Cover of ""Blinding Lights""","2023-06-04 16:10:00",670,43,28,video,Sunday
8,108,hannah_books,"Just finished this novel! ","2023-06-04 20:45:00",210,15,3,text,Sunday
20,120,tina_food,"Breakfast smoothie bowl ","2023-06-11 09:45:00",510,36,18,image,Sunday
21,121,umar_photo,"Wildlife photography ","2023-06-11 16:30:00",680,47,26,image,Sunday
34,134,henry_travel,"Safari adventure in Kenya ","2023-06-18 09:50:00",950,63,41,image,Sunday
35,135,ivy_cook,"Vegan brownie recipe ","2023-06-18 16:40:00",480,35,16,image,Sunday
48,148,vince_art,"Digital art commission open!","2023-06-25 15:55:00",330,23,10,image,Sunday
49,149,willa_gaming,"Speedrunning Mario 64","2023-06-25 22:40:00",1400,92,68,video,Sunday
62,162,jake_fit,"5-minute ab workout ","2023-07-02 09:05:00",430,31,12,reel,Sunday
63,163,kate_tech,"Setting up a home server","2023-07-02 15:50:00",620,45,20,video,Sunday
76,176,xena_style,"Accessory haul ","2023-07-09 13:05:00",320,22,8,image,Sunday
77,177,yara_music,"Guitar cover of ""Wonderwall""","2023-07-09 19:50:00",850,60,36,video,Sunday
90,190,leo_food,"Authentic tacos al pastor ","2023-07-16 14:05:00",680,49,27,image,Sunday
91,191,mia_photo,"Black & white street photography","2023-07-16 20:50:00",780,56,32,image,Sunday
